"diagnosis_code","diagnosis_description"
"O42.119","Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified trimester"
"O36.5132","Maternal care for known or suspected placental insufficiency, third trimester, fetus 2"
"O36.5913","Maternal care for other known or suspected poor fetal growth, first trimester, fetus 3"
"O64.5XX0","Obstructed labor due to compound presentation, not applicable or unspecified"
"O43.191","Other malformation of placenta, first trimester"
"O41.91X1","Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 1"
"O04.88","Urinary tract infection following (induced) termination of pregnancy"
"O71.6","Obstetric damage to pelvic joints and ligaments"
"O31.8X22","Other complications specific to multiple gestation, second trimester, fetus 2"
"O35.6XX0","Maternal care for (suspected) damage to fetus by radiation, not applicable or unspecified"
"O89.5","Other complications of spinal and epidural anesthesia during the puerperium"
"O98.02","Tuberculosis complicating childbirth"
"O29.63","Failed or difficult intubation for anesthesia during pregnancy, third trimester"
"O36.0915","Maternal care for other rhesus isoimmunization, first trimester, fetus 5"
"O23.23","Infections of urethra in pregnancy, third trimester"
"O15.02","Eclampsia complicating pregnancy, second trimester"
"O87.0","Superficial thrombophlebitis in the puerperium"
"O24.92","Unspecified diabetes mellitus in childbirth"
"O44.11","Complete placenta previa with hemorrhage, first trimester"
"O44.01","Complete placenta previa NOS or without hemorrhage, first trimester"
"O60.14X3","Preterm labor third trimester with preterm delivery third trimester, fetus 3"
"O60.14X4","Preterm labor third trimester with preterm delivery third trimester, fetus 4"
"O34.523","Maternal care for prolapse of gravid uterus, third trimester"
"O36.0125","Maternal care for anti-D [Rh] antibodies, second trimester, fetus 5"
"O36.1925","Maternal care for other isoimmunization, second trimester, fetus 5"
"O64.9XX0","Obstructed labor due to malposition and malpresentation, unspecified, not applicable or unspecified"
"O36.1193","Maternal care for Anti-A sensitization, unspecified trimester, fetus 3"
"O36.8239","Fetal anemia and thrombocytopenia, third trimester, other fetus"
"O36.8229","Fetal anemia and thrombocytopenia, second trimester, other fetus"
"O36.1121","Maternal care for Anti-A sensitization, second trimester, fetus 1"
"O36.8231","Fetal anemia and thrombocytopenia, third trimester, fetus 1"
"O36.0991","Maternal care for other rhesus isoimmunization, unspecified trimester, fetus 1"
"O98.013","Tuberculosis complicating pregnancy, third trimester"
"O91.03","Infection of nipple associated with lactation"
"O31.8X21","Other complications specific to multiple gestation, second trimester, fetus 1"
"O67.0","Intrapartum hemorrhage with coagulation defect"
"O36.1922","Maternal care for other isoimmunization, second trimester, fetus 2"
"O26.32","Retained intrauterine contraceptive device in pregnancy, second trimester"
"O26.10","Low weight gain in pregnancy, unspecified trimester"
"O00.81","Other ectopic pregnancy with intrauterine pregnancy"
"O98.619","Protozoal diseases complicating pregnancy, unspecified trimester"
"O31.22X2","Continuing pregnancy after intrauterine death of one fetus or more, second trimester, fetus 2"
"O36.5122","Maternal care for known or suspected placental insufficiency, second trimester, fetus 2"
"O31.21X2","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 2"
"O23.22","Infections of urethra in pregnancy, second trimester"
"O64.2XX2","Obstructed labor due to face presentation, fetus 2"
"O92.12","Cracked nipple associated with the puerperium"
"O36.8199","Decreased fetal movements, unspecified trimester, other fetus"
"O31.13X1","Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester, fetus 1"
"O33.5XX2","Maternal care for disproportion due to unusually large fetus, fetus 2"
"O44.52","Low lying placenta with hemorrhage, second trimester"
"O31.8X32","Other complications specific to multiple gestation, third trimester, fetus 2"
"O36.60X3","Maternal care for excessive fetal growth, unspecified trimester, fetus 3"
"O36.61X1","Maternal care for excessive fetal growth, first trimester, fetus 1"
"O26.50","Maternal hypotension syndrome, unspecified trimester"
"O36.1112","Maternal care for Anti-A sensitization, first trimester, fetus 2"
"O32.6XX2","Maternal care for compound presentation, fetus 2"
"O86.11","Cervicitis following delivery"
"O41.92X0","Disorder of amniotic fluid and membranes, unspecified, second trimester, not applicable or unspecified"
"O31.31X0","Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, not applicable or unspecified"
"O30.201","Quadruplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
"O31.30X0","Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, not applicable or unspecified"
"O35.2XX4","Maternal care for (suspected) hereditary disease in fetus, fetus 4"
"O45.013","Premature separation of placenta with afibrinogenemia, third trimester"
"O26.829","Pregnancy related peripheral neuritis, unspecified trimester"
"O98.93","Unspecified maternal infectious and parasitic disease complicating the puerperium"
"O26.30","Retained intrauterine contraceptive device in pregnancy, unspecified trimester"
"O69.1XX9","Labor and delivery complicated by cord around neck, with compression, other fetus"
"O34.529","Maternal care for prolapse of gravid uterus, unspecified trimester"
"O36.73X1","Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 1"
"O23.21","Infections of urethra in pregnancy, first trimester"
"O69.89X1","Labor and delivery complicated by other cord complications, fetus 1"
"O22.10","Genital varices in pregnancy, unspecified trimester"
"O03.5","Genital tract and pelvic infection following complete or unspecified spontaneous abortion"
"O12.24","Gestational edema with proteinuria, complicating childbirth"
"O36.8999","Maternal care for other specified fetal problems, unspecified trimester, other fetus"
"O41.03X3","Oligohydramnios, third trimester, fetus 3"
"O69.2XX2","Labor and delivery complicated by other cord entanglement, with compression, fetus 2"
"O03.86","Cardiac arrest following complete or unspecified spontaneous abortion"
"O35.9XX4","Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 4"
"O40.3XX4","Polyhydramnios, third trimester, fetus 4"
"O36.8393","Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, fetus 3"
"O89.8","Other complications of anesthesia during the puerperium"
"O36.8125","Decreased fetal movements, second trimester, fetus 5"
"O34.22","Maternal care for cesarean scar defect (isthmocele)"
"O41.93X1","Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 1"
"O35.2XX3","Maternal care for (suspected) hereditary disease in fetus, fetus 3"
"O29.93","Unspecified complication of anesthesia during pregnancy, third trimester"
"O35.1XX9","Maternal care for (suspected) chromosomal abnormality in fetus, other fetus"
"O10.312","Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester"
"O44.41","Low lying placenta NOS or without hemorrhage, first trimester"
"O36.5925","Maternal care for other known or suspected poor fetal growth, second trimester, fetus 5"
"O23.513","Infections of cervix in pregnancy, third trimester"
"O43.019","Fetomaternal placental transfusion syndrome, unspecified trimester"
"O36.1923","Maternal care for other isoimmunization, second trimester, fetus 3"
"O33.3XX1","Maternal care for disproportion due to outlet contraction of pelvis, fetus 1"
"O36.20X0","Maternal care for hydrops fetalis, unspecified trimester, not applicable or unspecified"
"O33.7XX0","Maternal care for disproportion due to other fetal deformities, not applicable or unspecified"
"O70.22","Third degree perineal laceration during delivery, IIIb"
"O65.4","Obstructed labor due to fetopelvic disproportion, unspecified"
"O36.62X9","Maternal care for excessive fetal growth, second trimester, other fetus"
"O69.4XX1","Labor and delivery complicated by vasa previa, fetus 1"
"O00.20","Ovarian pregnancy without intrauterine pregnancy"
"O69.3XX0","Labor and delivery complicated by short cord, not applicable or unspecified"
"O41.02X9","Oligohydramnios, second trimester, other fetus"
"O42.019","Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, unspecified trimester"
"O60.14X9","Preterm labor third trimester with preterm delivery third trimester, other fetus"
"O24.83","Other pre-existing diabetes mellitus in the puerperium"
"O36.0999","Maternal care for other rhesus isoimmunization, unspecified trimester, other fetus"
"O29.3X1","Toxic reaction to local anesthesia during pregnancy, first trimester"
"O88.03","Air embolism in the puerperium"
"O41.1212","Chorioamnionitis, first trimester, fetus 2"
"O98.13","Syphilis complicating the puerperium"
"O45.023","Premature separation of placenta with disseminated intravascular coagulation, third trimester"
"O36.63X2","Maternal care for excessive fetal growth, third trimester, fetus 2"
"O34.513","Maternal care for incarceration of gravid uterus, third trimester"
"O36.1914","Maternal care for other isoimmunization, first trimester, fetus 4"
"O30.122","Triplet pregnancy with two or more monoamniotic fetuses, second trimester"
"O30.112","Triplet pregnancy with two or more monochorionic fetuses, second trimester"
"O30.113","Triplet pregnancy with two or more monochorionic fetuses, third trimester"
"O30.102","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
"O26.41","Herpes gestationis, first trimester"
"O92.013","Retracted nipple associated with pregnancy, third trimester"
"O36.5190","Maternal care for known or suspected placental insufficiency, unspecified trimester, not applicable or unspecified"
"O29.023","Pressure collapse of lung due to anesthesia during pregnancy, third trimester"
"O34.521","Maternal care for prolapse of gravid uterus, first trimester"
"O31.8X30","Other complications specific to multiple gestation, third trimester, not applicable or unspecified"
"O26.719","Subluxation of symphysis (pubis) in pregnancy, unspecified trimester"
"O90.5","Postpartum thyroiditis"
"O32.0XX2","Maternal care for unstable lie, fetus 2"
"O40.9XX9","Polyhydramnios, unspecified trimester, other fetus"
"O36.5934","Maternal care for other known or suspected poor fetal growth, third trimester, fetus 4"
"O35.8XX5","Maternal care for other (suspected) fetal abnormality and damage, fetus 5"
"O46.029","Antepartum hemorrhage with disseminated intravascular coagulation, unspecified trimester"
"O69.0XX3","Labor and delivery complicated by prolapse of cord, fetus 3"
"O69.5XX0","Labor and delivery complicated by vascular lesion of cord, not applicable or unspecified"
"O36.61X3","Maternal care for excessive fetal growth, first trimester, fetus 3"
"O22.93","Venous complication in pregnancy, unspecified, third trimester"
"O10.43","Pre-existing secondary hypertension complicating the puerperium"
"O36.1993","Maternal care for other isoimmunization, unspecified trimester, fetus 3"
"O91.13","Abscess of breast associated with lactation"
"O43.231","Placenta percreta, first trimester"
